LocationType,Location,TimeFrame,DataFormat,Data
County,Kings,2009,Rate,7.2
County,Kings,2010,Rate,5.4
County,Kings,2011,Rate,6
County,Kings,2012,Rate,10.8
County,Kings,2014,Rate,11
County,Kings,2015,Rate,12.3
County,Lake,2014,Rate,6.6
County,Lake,2012,Rate,6
County,Lake,2011,Rate,7.4
County,Lake,2010,Rate,10.3
County,Lake,2009,Rate,8.7
County,Lake,2013,Rate,8.4
County,Lake,2008,Rate,8.1
County,Lake,2007,Rate,12.2
County,Lake,2006,Rate,19.1
County,Lake,2005,Rate,17.1
County,Lake,2004,Rate,20.7
County,Lake,2003,Rate,17.9
County,Lake,2002,Rate,21.5
County,Lake,2001,Rate,21.8
County,Lake,2000,Rate,14.3
County,Lake,2015,Rate,6.6
County,Lassen,2000,Rate,22.6
County,Lassen,2001,Rate,24.1
County,Lassen,2002,Rate,26.8
County,Lassen,2003,Rate,19.7
County,Lassen,2004,Rate,19.9
County,Lassen,2005,Rate,23.1
County,Lassen,2006,Rate,18
County,Lassen,2007,Rate,21.2
County,Lassen,2008,Rate,21.3
County,Lassen,2013,Rate,11.5
County,Lassen,2009,Rate,13.8
County,Lassen,2010,Rate,19.2
County,Lassen,2011,Rate,14.7
County,Lassen,2012,Rate,15.8
County,Lassen,2014,Rate,18.2
County,Lassen,2015,Rate,18.2
County,Los Angeles,2014,Rate,11.6
County,Los Angeles,2012,Rate,12.6
County,Los Angeles,2011,Rate,13
County,Los Angeles,2010,Rate,12.7
County,Los Angeles,2009,Rate,11.6
County,Los Angeles,2013,Rate,12.6
County,Los Angeles,2008,Rate,10.6
County,Los Angeles,2007,Rate,10.7
County,Los Angeles,2006,Rate,10.6
County,Los Angeles,2005,Rate,10.7
County,Los Angeles,2004,Rate,10.8
County,Los Angeles,2003,Rate,10.5
County,Los Angeles,2002,Rate,11.5
County,Los Angeles,2001,Rate,10.6
County,Los Angeles,2000,Rate,10.5
County,Los Angeles,2015,Rate,10.5
County,Madera,2000,Rate,18.7
County,Madera,2001,Rate,17.8
County,Madera,2002,Rate,15.4
County,Madera,2003,Rate,14.2
County,Madera,2004,Rate,14.6
County,Madera,2005,Rate,14.5
County,Madera,2006,Rate,16.8
County,Madera,2007,Rate,11.1
County,Madera,2008,Rate,11.2
County,Madera,2013,Rate,12.7
County,Madera,2009,Rate,11.8
County,Madera,2010,Rate,10.3
County,Madera,2011,Rate,9.2
County,Madera,2012,Rate,12.4
County,Madera,2014,Rate,9.1
County,Madera,2015,Rate,9
County,Marin,2014,Rate,4
County,Marin,2012,Rate,4.3
County,Marin,2011,Rate,4.8
County,Marin,2010,Rate,4.4
County,Marin,2009,Rate,4.8
County,Marin,2013,Rate,3.8
County,Marin,2008,Rate,4.7
County,Marin,2007,Rate,5.8
County,Marin,2006,Rate,5.2
County,Marin,2005,Rate,5.8
County,Marin,2004,Rate,4.4
County,Marin,2003,Rate,5.4
County,Marin,2002,Rate,5.5
County,Marin,2001,Rate,6.9
County,Marin,2000,Rate,7.4
County,Marin,2015,Rate,3.4
County,Mariposa,2000,Rate,18.1
County,Mariposa,2001,Rate,21.5
County,Mariposa,2002,Rate,33
County,Mariposa,2003,Rate,42.8
County,Mariposa,2004,Rate,52.6
County,Mariposa,2005,Rate,53
County,Mariposa,2006,Rate,30.8
County,Mariposa,2007,Rate,24.5
County,Mariposa,2008,Rate,27.5
County,Mariposa,2013,Rate,21.5
County,Mariposa,2009,Rate,27.8
County,Mariposa,2010,Rate,46.9
County,Mariposa,2011,Rate,39.2
County,Mariposa,2012,Rate,33.7
County,Mariposa,2014,Rate,6.5
County,Mariposa,2015,Rate,10.7
County,Mendocino,2014,Rate,18.7
County,Mendocino,2012,Rate,20
County,Mendocino,2011,Rate,19.7
County,Mendocino,2010,Rate,21.6
County,Mendocino,2009,Rate,21.2
County,Mendocino,2013,Rate,16.8
County,Mendocino,2008,Rate,24.9
County,Mendocino,2007,Rate,33.6
County,Mendocino,2006,Rate,28.9
County,Mendocino,2005,Rate,32.5
County,Mendocino,2004,Rate,41.3
County,Mendocino,2003,Rate,34.6
County,Mendocino,2002,Rate,38.2
County,Mendocino,2001,Rate,35.2
County,Mendocino,2000,Rate,33.2
County,Mendocino,2015,Rate,21
County,Merced,2000,Rate,19.6
County,Merced,2001,Rate,21.6
County,Merced,2002,Rate,21.4
County,Merced,2003,Rate,21.6
County,Merced,2004,Rate,18.9
County,Merced,2005,Rate,18.4
County,Merced,2006,Rate,14.8
County,Merced,2007,Rate,13.7
County,Merced,2008,Rate,12.9
County,Merced,2013,Rate,10.6
County,Merced,2009,Rate,11.3
County,Merced,2010,Rate,9.4
County,Merced,2011,Rate,8.8
County,Merced,2012,Rate,11.1
County,Merced,2014,Rate,7.8
County,Merced,2015,Rate,7.7
County,Modoc,2014,Rate,32.9
County,Modoc,2012,Rate,24.2
County,Modoc,2011,Rate,16.3
County,Modoc,2010,Rate,18.2
County,Modoc,2009,Rate,20.5
County,Modoc,2013,Rate,30.8
County,Modoc,2008,Rate,11.4
County,Modoc,2007,Rate,20.4
County,Modoc,2006,Rate,26.2
County,Modoc,2005,Rate,18.5
County,Modoc,2004,Rate,15.3
County,Modoc,2003,Rate,13.8
County,Modoc,2002,Rate,23.7
County,Modoc,2001,Rate,21.5
County,Modoc,2000,Rate,26.3
County,Modoc,2015,Rate,18.2
County,Mono,2000,Rate,9.6
County,Mono,2001,Rate,5.5
County,Mono,2002,Rate,10.3
County,Mono,2003,Rate,7.7
County,Mono,2004,Rate,10.2
County,Mono,2005,Rate,19.5
County,Mono,2006,Rate,17.7
County,Mono,2007,Rate,19.9
County,Mono,2008,Rate,13.6
County,Mono,2013,Rate,5.5
County,Mono,2009,Rate,10.3
County,Mono,2010,Rate,9
County,Mono,2011,Rate,8
County,Mono,2012,Rate,5.1
County,Mono,2014,Rate,8.9
County,Mono,2015,Rate,7.5
County,Monterey,2014,Rate,3.8
County,Monterey,2012,Rate,3.9
County,Monterey,2011,Rate,3
County,Monterey,2010,Rate,3.6
County,Monterey,2009,Rate,3.9
County,Monterey,2013,Rate,3.6
County,Monterey,2008,Rate,4.9
County,Monterey,2007,Rate,6.2
County,Monterey,2006,Rate,7.4
County,Monterey,2005,Rate,7.8
County,Monterey,2004,Rate,6.3
County,Monterey,2003,Rate,5.9
County,Monterey,2002,Rate,5.1
County,Monterey,2001,Rate,5.5
