LocationType,Location,TimeFrame,DataFormat,Data
County,Inyo,2007,Rate,4.1
County,Inyo,2008,Rate,2.8
County,Inyo,2009,Rate,2.2
County,Inyo,2010,Rate,4.3
County,Inyo,2011,Rate,3.9
County,Inyo,2012,Rate,4.6
County,Inyo,2013,Rate,2.8
County,Inyo,2014,Rate,3.2
County,Kern,2000,Rate,11.6
County,Kern,2001,Rate,12.1
County,Kern,2002,Rate,12.7
County,Kern,2003,Rate,13.1
County,Kern,2004,Rate,12.4
County,Kern,2005,Rate,11.1
County,Kern,2006,Rate,9.9
County,Kern,2007,Rate,9.7
County,Kern,2008,Rate,8.6
County,Kern,2009,Rate,8.2
County,Kern,2010,Rate,7.9
County,Kern,2011,Rate,7.2
County,Kern,2012,Rate,7
County,Kern,2013,Rate,6.1
County,Kern,2014,Rate,6.1
County,Kings,2000,Rate,6.9
County,Kings,2001,Rate,8.7
County,Kings,2002,Rate,8.7
County,Kings,2003,Rate,8.3
County,Kings,2004,Rate,7.6
County,Kings,2005,Rate,6.9
County,Kings,2006,Rate,8.3
County,Kings,2007,Rate,8.3
County,Kings,2008,Rate,7.4
County,Kings,2009,Rate,6.9
County,Kings,2010,Rate,6.3
County,Kings,2011,Rate,6.9
County,Kings,2012,Rate,8.6
County,Kings,2013,Rate,9.9
County,Kings,2014,Rate,9.7
County,Lake,2000,Rate,12.2
County,Lake,2001,Rate,12.8
County,Lake,2002,Rate,12.4
County,Lake,2003,Rate,13
County,Lake,2004,Rate,15.5
County,Lake,2005,Rate,15.7
County,Lake,2006,Rate,15.4
County,Lake,2007,Rate,14
County,Lake,2008,Rate,13
County,Lake,2009,Rate,12.7
County,Lake,2010,Rate,10.2
County,Lake,2011,Rate,12.3
County,Lake,2012,Rate,8.9
County,Lake,2013,Rate,9.4
County,Lake,2014,Rate,10.1
County,Lassen,2000,Rate,7.1
County,Lassen,2001,Rate,9.1
County,Lassen,2002,Rate,11.4
County,Lassen,2003,Rate,10.4
County,Lassen,2004,Rate,11.3
County,Lassen,2005,Rate,12.3
County,Lassen,2006,Rate,7.8
County,Lassen,2007,Rate,8.9
County,Lassen,2008,Rate,7.2
County,Lassen,2009,Rate,7.4
County,Lassen,2010,Rate,7.3
County,Lassen,2011,Rate,7.3
County,Lassen,2012,Rate,7.7
County,Lassen,2013,Rate,7.8
County,Lassen,2014,Rate,8.7
County,Los Angeles,2000,Rate,16.3
County,Los Angeles,2001,Rate,13.6
County,Los Angeles,2002,Rate,12.2
County,Los Angeles,2003,Rate,11.2
County,Los Angeles,2004,Rate,10.3
County,Los Angeles,2005,Rate,9.7
County,Los Angeles,2006,Rate,9.3
County,Los Angeles,2007,Rate,9.1
County,Los Angeles,2008,Rate,8.3
County,Los Angeles,2009,Rate,7.6
County,Los Angeles,2010,Rate,7.3
County,Los Angeles,2011,Rate,7.3
County,Los Angeles,2012,Rate,7.3
County,Los Angeles,2013,Rate,7.7
County,Los Angeles,2014,Rate,7.8
County,Madera,2000,Rate,5.8
County,Madera,2001,Rate,5.5
County,Madera,2002,Rate,5.6
County,Madera,2003,Rate,5.9
County,Madera,2004,Rate,6.9
County,Madera,2005,Rate,7.1
County,Madera,2006,Rate,7.8
County,Madera,2007,Rate,6.6
County,Madera,2008,Rate,5.6
County,Madera,2009,Rate,5.7
County,Madera,2010,Rate,5.2
County,Madera,2011,Rate,4.2
County,Madera,2012,Rate,4.9
County,Madera,2013,Rate,7.3
County,Madera,2014,Rate,7.6
County,Marin,2000,Rate,2.8
County,Marin,2001,Rate,2.5
County,Marin,2002,Rate,2.4
County,Marin,2003,Rate,2.4
County,Marin,2004,Rate,2
County,Marin,2005,Rate,1.8
County,Marin,2006,Rate,1.6
County,Marin,2007,Rate,1.4
County,Marin,2008,Rate,1
