LocationType,Location,TimeFrame,DataFormat,Data
County,Sutter,2009,Currency,56439
County,Sutter,2010,Currency,57430
County,Sutter,2011,Currency,53337
County,Sutter,2012,Currency,53031
County,Sutter,2013,Currency,52203
County,Sutter,2014,Currency,54052
County,Tehama,2009,Currency,41242
County,Tehama,2010,Currency,44035
County,Tehama,2011,Currency,43943
County,Tehama,2012,Currency,44350
County,Tehama,2013,Currency,45685
County,Tehama,2014,Currency,45320
County,Tulare,2009,Currency,43304
County,Tulare,2010,Currency,43895
County,Tulare,2011,Currency,41168
County,Tulare,2012,Currency,40149
County,Tulare,2013,Currency,38759
County,Tulare,2014,Currency,37271
County,Tuolumne,2009,Currency,64387
County,Tuolumne,2010,Currency,64518
County,Tuolumne,2011,Currency,58123
County,Tuolumne,2012,Currency,59110
County,Tuolumne,2013,Currency,58718
County,Tuolumne,2014,Currency,54809
County,Ventura,2009,Currency,86330
County,Ventura,2010,Currency,86897
County,Ventura,2011,Currency,86527
County,Ventura,2012,Currency,85618
County,Ventura,2013,Currency,83931
County,Ventura,2014,Currency,83048
County,Yolo,2009,Currency,71953
County,Yolo,2010,Currency,73509
County,Yolo,2011,Currency,73470
County,Yolo,2012,Currency,73617
County,Yolo,2013,Currency,71821
County,Yolo,2014,Currency,71130
County,Yuba,2009,Currency,50834
County,Yuba,2010,Currency,52351
County,Yuba,2011,Currency,48937
County,Yuba,2012,Currency,50031
County,Yuba,2013,Currency,47507
County,Yuba,2014,Currency,46601
