LocationType,Location,Age group,TimeFrame,DataFormat,Data
County,El Dorado,0-3,2015,Percent,0.22128
County,El Dorado,4-5,2015,Percent,0.47648
County,El Dorado,6-8,2015,Percent,0.48359
County,El Dorado,9-11,2015,Percent,0.45114
County,El Dorado,12-14,2015,Percent,0.43605
County,El Dorado,15-18,2015,Percent,0.40459
County,El Dorado,19-20,2015,Percent,0.25759
County,El Dorado,0-20,2015,Percent,0.39807
County,Fresno,0-3,2013,Percent,0.25
County,Fresno,4-5,2013,Percent,0.62
County,Fresno,6-8,2013,Percent,0.65
County,Fresno,9-11,2013,Percent,0.61
County,Fresno,12-14,2013,Percent,0.54
County,Fresno,15-18,2013,Percent,0.48
County,Fresno,19-20,2013,Percent,0.35
County,Fresno,0-20,2013,Percent,0.5
County,Fresno,0-3,2014,Percent,0.23667
County,Fresno,4-5,2014,Percent,0.59157
County,Fresno,6-8,2014,Percent,0.62711
County,Fresno,9-11,2014,Percent,0.59952
County,Fresno,12-14,2014,Percent,0.52933
County,Fresno,15-18,2014,Percent,0.47284
County,Fresno,19-20,2014,Percent,0.32788
County,Fresno,0-20,2014,Percent,0.48955
County,Fresno,0-3,2015,Percent,0.25684
County,Fresno,4-5,2015,Percent,0.57892
County,Fresno,6-8,2015,Percent,0.61033
County,Fresno,9-11,2015,Percent,0.58612
County,Fresno,12-14,2015,Percent,0.51561
County,Fresno,15-18,2015,Percent,0.45141
County,Fresno,19-20,2015,Percent,0.31464
County,Fresno,0-20,2015,Percent,0.47954
County,Glenn,0-3,2013,Percent,0.47
County,Glenn,4-5,2013,Percent,0.75
County,Glenn,6-8,2013,Percent,0.72
County,Glenn,9-11,2013,Percent,0.64
County,Glenn,12-14,2013,Percent,0.57
County,Glenn,15-18,2013,Percent,0.55
County,Glenn,19-20,2013,Percent,0.39
County,Glenn,0-20,2013,Percent,0.6
County,Glenn,0-3,2014,Percent,0.42982
County,Glenn,4-5,2014,Percent,0.72097
County,Glenn,6-8,2014,Percent,0.69498
County,Glenn,9-11,2014,Percent,0.65741
County,Glenn,12-14,2014,Percent,0.56692
County,Glenn,15-18,2014,Percent,0.52788
County,Glenn,19-20,2014,Percent,0.31907
County,Glenn,0-20,2014,Percent,0.57795
County,Glenn,0-3,2015,Percent,0.40047
County,Glenn,4-5,2015,Percent,0.74419
County,Glenn,6-8,2015,Percent,0.69831
County,Glenn,9-11,2015,Percent,0.6182
County,Glenn,12-14,2015,Percent,0.59463
County,Glenn,15-18,2015,Percent,0.48534
County,Glenn,19-20,2015,Percent,0.33226
County,Glenn,0-20,2015,Percent,0.56326
County,Humboldt,0-3,2013,Percent,0.21
County,Humboldt,4-5,2013,Percent,0.53
County,Humboldt,6-8,2013,Percent,0.53
County,Humboldt,9-11,2013,Percent,0.48
County,Humboldt,12-14,2013,Percent,0.44
County,Humboldt,15-18,2013,Percent,0.43
County,Humboldt,19-20,2013,Percent,0.3
County,Humboldt,0-20,2013,Percent,0.41
County,Humboldt,0-3,2014,Percent,0.22251
County,Humboldt,4-5,2014,Percent,0.52185
County,Humboldt,6-8,2014,Percent,0.51393
County,Humboldt,9-11,2014,Percent,0.46721
County,Humboldt,12-14,2014,Percent,0.43529
County,Humboldt,15-18,2014,Percent,0.41575
County,Humboldt,19-20,2014,Percent,0.28519
County,Humboldt,0-20,2014,Percent,0.41094
County,Humboldt,0-3,2015,Percent,0.23482
County,Humboldt,4-5,2015,Percent,0.4738
County,Humboldt,6-8,2015,Percent,0.4991
County,Humboldt,9-11,2015,Percent,0.49603
County,Humboldt,12-14,2015,Percent,0.43264
County,Humboldt,15-18,2015,Percent,0.39892
County,Humboldt,19-20,2015,Percent,0.25599
County,Humboldt,0-20,2015,Percent,0.40275
County,Imperial,0-3,2013,Percent,0.27
County,Imperial,4-5,2013,Percent,0.57
County,Imperial,6-8,2013,Percent,0.54
County,Imperial,9-11,2013,Percent,0.48
County,Imperial,12-14,2013,Percent,0.46
County,Imperial,15-18,2013,Percent,0.41
County,Imperial,19-20,2013,Percent,0.29
County,Imperial,0-20,2013,Percent,0.43
County,Imperial,0-3,2014,Percent,0.20913
County,Imperial,4-5,2014,Percent,0.51766
County,Imperial,6-8,2014,Percent,0.52665
County,Imperial,9-11,2014,Percent,0.47809
County,Imperial,12-14,2014,Percent,0.38923
County,Imperial,15-18,2014,Percent,0.34524
County,Imperial,19-20,2014,Percent,0.22461
County,Imperial,0-20,2014,Percent,0.38899
County,Imperial,0-3,2015,Percent,0.19183
County,Imperial,4-5,2015,Percent,0.49037
County,Imperial,6-8,2015,Percent,0.45707
County,Imperial,9-11,2015,Percent,0.40376
County,Imperial,12-14,2015,Percent,0.37165
County,Imperial,15-18,2015,Percent,0.30876
County,Imperial,19-20,2015,Percent,0.21711
County,Imperial,0-20,2015,Percent,0.35014
County,Inyo,0-3,2013,Percent,0.23
County,Inyo,4-5,2013,Percent,0.61
County,Inyo,6-8,2013,Percent,0.61
County,Inyo,9-11,2013,Percent,0.49
County,Inyo,12-14,2013,Percent,0.51
County,Inyo,15-18,2013,Percent,0.44
County,Inyo,19-20,2013,Percent,0.44
County,Inyo,0-20,2013,Percent,0.46
County,Inyo,0-3,2014,Percent,0.23919
County,Inyo,4-5,2014,Percent,0.53465
County,Inyo,6-8,2014,Percent,0.59868
County,Inyo,9-11,2014,Percent,0.57801
County,Inyo,12-14,2014,Percent,0.47556
County,Inyo,15-18,2014,Percent,0.4281
County,Inyo,19-20,2014,Percent,0.35052
County,Inyo,0-20,2014,Percent,0.45831
County,Inyo,0-3,2015,Percent,0.27606
County,Inyo,4-5,2015,Percent,0.64948
County,Inyo,6-8,2015,Percent,0.55891
County,Inyo,9-11,2015,Percent,0.57692
County,Inyo,12-14,2015,Percent,0.5155
County,Inyo,15-18,2015,Percent,0.41818
County,Inyo,19-20,2015,Percent,0.20168
County,Inyo,0-20,2015,Percent,0.46701
County,Kern,0-3,2013,Percent,0.33
County,Kern,4-5,2013,Percent,0.72
County,Kern,6-8,2013,Percent,0.7
County,Kern,9-11,2013,Percent,0.65
County,Kern,12-14,2013,Percent,0.58
County,Kern,15-18,2013,Percent,0.51
County,Kern,19-20,2013,Percent,0.36
County,Kern,0-20,2013,Percent,0.55
County,Kern,0-3,2014,Percent,0.32048
County,Kern,4-5,2014,Percent,0.6853
County,Kern,6-8,2014,Percent,0.6755
County,Kern,9-11,2014,Percent,0.63742
County,Kern,12-14,2014,Percent,0.56702
County,Kern,15-18,2014,Percent,0.49868
County,Kern,19-20,2014,Percent,0.33576
County,Kern,0-20,2014,Percent,0.54027
County,Kern,0-3,2015,Percent,0.34452
County,Kern,4-5,2015,Percent,0.67773
County,Kern,6-8,2015,Percent,0.66861
County,Kern,9-11,2015,Percent,0.6196
County,Kern,12-14,2015,Percent,0.55261
County,Kern,15-18,2015,Percent,0.4837
County,Kern,19-20,2015,Percent,0.33259
County,Kern,0-20,2015,Percent,0.53382
County,Kings,0-3,2013,Percent,0.26
County,Kings,4-5,2013,Percent,0.61
County,Kings,6-8,2013,Percent,0.64
County,Kings,9-11,2013,Percent,0.61
County,Kings,12-14,2013,Percent,0.55
County,Kings,15-18,2013,Percent,0.47
County,Kings,19-20,2013,Percent,0.3
County,Kings,0-20,2013,Percent,0.5
County,Kings,0-3,2014,Percent,0.28038
County,Kings,4-5,2014,Percent,0.59582
County,Kings,6-8,2014,Percent,0.6328
County,Kings,9-11,2014,Percent,0.60727
County,Kings,12-14,2014,Percent,0.51846
County,Kings,15-18,2014,Percent,0.42555
County,Kings,19-20,2014,Percent,0.30533
County,Kings,0-20,2014,Percent,0.49191
County,Kings,0-3,2015,Percent,0.29157
County,Kings,4-5,2015,Percent,0.58566
County,Kings,6-8,2015,Percent,0.61333
County,Kings,9-11,2015,Percent,0.57706
County,Kings,12-14,2015,Percent,0.51312
County,Kings,15-18,2015,Percent,0.42097
County,Kings,19-20,2015,Percent,0.26942
County,Kings,0-20,2015,Percent,0.48105
County,Lake,0-3,2013,Percent,0.39
County,Lake,4-5,2013,Percent,0.66
County,Lake,6-8,2013,Percent,0.64
County,Lake,9-11,2013,Percent,0.58
County,Lake,12-14,2013,Percent,0.54
County,Lake,15-18,2013,Percent,0.5
County,Lake,19-20,2013,Percent,0.33
County,Lake,0-20,2013,Percent,0.53
County,Lake,0-3,2014,Percent,0.38166
County,Lake,4-5,2014,Percent,0.57937
County,Lake,6-8,2014,Percent,0.57508
County,Lake,9-11,2014,Percent,0.52516
County,Lake,12-14,2014,Percent,0.47649
County,Lake,15-18,2014,Percent,0.42467
County,Lake,19-20,2014,Percent,0.30236
County,Lake,0-20,2014,Percent,0.47321
County,Lake,0-3,2015,Percent,0.35718
County,Lake,4-5,2015,Percent,0.57524
County,Lake,6-8,2015,Percent,0.56864
County,Lake,9-11,2015,Percent,0.50888
County,Lake,12-14,2015,Percent,0.48246
County,Lake,15-18,2015,Percent,0.45136
County,Lake,19-20,2015,Percent,0.30618
County,Lake,0-20,2015,Percent,0.4695
County,Lassen,0-3,2013,Percent,0.37
County,Lassen,4-5,2013,Percent,0.69
County,Lassen,6-8,2013,Percent,0.56
County,Lassen,9-11,2013,Percent,0.47
County,Lassen,12-14,2013,Percent,0.41
County,Lassen,15-18,2013,Percent,0.45
County,Lassen,19-20,2013,Percent,0.25
County,Lassen,0-20,2013,Percent,0.47
County,Lassen,0-3,2014,Percent,0.35931
County,Lassen,4-5,2014,Percent,0.65926
County,Lassen,6-8,2014,Percent,0.53299
County,Lassen,9-11,2014,Percent,0.47765
County,Lassen,12-14,2014,Percent,0.42547
County,Lassen,15-18,2014,Percent,0.43099
County,Lassen,19-20,2014,Percent,0.25316
County,Lassen,0-20,2014,Percent,0.45435
County,Lassen,0-3,2015,Percent,0.34064
County,Lassen,4-5,2015,Percent,0.59136
County,Lassen,6-8,2015,Percent,0.52887
County,Lassen,9-11,2015,Percent,0.49512
County,Lassen,12-14,2015,Percent,0.42507
County,Lassen,15-18,2015,Percent,0.39301
County,Lassen,19-20,2015,Percent,0.23636
County,Lassen,0-20,2015,Percent,0.43854
County,Los Angeles,0-3,2013,Percent,0.36
County,Los Angeles,4-5,2013,Percent,0.73
County,Los Angeles,6-8,2013,Percent,0.74
County,Los Angeles,9-11,2013,Percent,0.69
County,Los Angeles,12-14,2013,Percent,0.63
County,Los Angeles,15-18,2013,Percent,0.55
County,Los Angeles,19-20,2013,Percent,0.41
County,Los Angeles,0-20,2013,Percent,0.59
County,Los Angeles,0-3,2014,Percent,0.33769
County,Los Angeles,4-5,2014,Percent,0.68841
County,Los Angeles,6-8,2014,Percent,0.70882
County,Los Angeles,9-11,2014,Percent,0.67091
County,Los Angeles,12-14,2014,Percent,0.60531
County,Los Angeles,15-18,2014,Percent,0.51879
County,Los Angeles,19-20,2014,Percent,0.36912
County,Los Angeles,0-20,2014,Percent,0.56452
County,Los Angeles,0-3,2015,Percent,0.34686
County,Los Angeles,4-5,2015,Percent,0.6689
County,Los Angeles,6-8,2015,Percent,0.68698
County,Los Angeles,9-11,2015,Percent,0.65129
County,Los Angeles,12-14,2015,Percent,0.58828
County,Los Angeles,15-18,2015,Percent,0.49604
County,Los Angeles,19-20,2015,Percent,0.34187
County,Los Angeles,0-20,2015,Percent,0.54633
County,Madera,0-3,2013,Percent,0.34
County,Madera,4-5,2013,Percent,0.67
County,Madera,6-8,2013,Percent,0.69
County,Madera,9-11,2013,Percent,0.65
County,Madera,12-14,2013,Percent,0.58
County,Madera,15-18,2013,Percent,0.49
County,Madera,19-20,2013,Percent,0.38
County,Madera,0-20,2013,Percent,0.55
County,Madera,0-3,2014,Percent,0.32428
County,Madera,4-5,2014,Percent,0.66615
County,Madera,6-8,2014,Percent,0.67753
County,Madera,9-11,2014,Percent,0.65478
County,Madera,12-14,2014,Percent,0.59587
County,Madera,15-18,2014,Percent,0.51145
County,Madera,19-20,2014,Percent,0.36947
County,Madera,0-20,2014,Percent,0.55135
County,Madera,0-3,2015,Percent,0.3661
County,Madera,4-5,2015,Percent,0.67596
County,Madera,6-8,2015,Percent,0.69545
County,Madera,9-11,2015,Percent,0.66125
County,Madera,12-14,2015,Percent,0.59354
County,Madera,15-18,2015,Percent,0.49971
County,Madera,19-20,2015,Percent,0.35645
County,Madera,0-20,2015,Percent,0.56056
County,Marin,0-3,2013,Percent,0.73
County,Marin,4-5,2013,Percent,0.85
County,Marin,6-8,2013,Percent,0.83
County,Marin,9-11,2013,Percent,0.79
County,Marin,12-14,2013,Percent,0.73
County,Marin,15-18,2013,Percent,0.56
County,Marin,19-20,2013,Percent,0.36
County,Marin,0-20,2013,Percent,0.74
County,Marin,0-3,2014,Percent,0.67548
County,Marin,4-5,2014,Percent,0.78184
County,Marin,6-8,2014,Percent,0.7832
County,Marin,9-11,2014,Percent,0.71837
County,Marin,12-14,2014,Percent,0.66834
County,Marin,15-18,2014,Percent,0.54723
County,Marin,19-20,2014,Percent,0.36858
County,Marin,0-20,2014,Percent,0.67756
County,Marin,0-3,2015,Percent,0.66412
County,Marin,4-5,2015,Percent,0.78042
County,Marin,6-8,2015,Percent,0.76809
County,Marin,9-11,2015,Percent,0.736
County,Marin,12-14,2015,Percent,0.64723
County,Marin,15-18,2015,Percent,0.53843
County,Marin,19-20,2015,Percent,0.36344
County,Marin,0-20,2015,Percent,0.66365
County,Mariposa,0-3,2013,Percent,0.14
County,Mariposa,4-5,2013,Percent,0.43
County,Mariposa,6-8,2013,Percent,0.54
County,Mariposa,9-11,2013,Percent,0.54
County,Mariposa,12-14,2013,Percent,0.48
County,Mariposa,15-18,2013,Percent,0.5
County,Mariposa,19-20,2013,Percent,0.25
County,Mariposa,0-20,2013,Percent,0.42
County,Mariposa,0-3,2014,Percent,0.13169
County,Mariposa,4-5,2014,Percent,0.36242
County,Mariposa,6-8,2014,Percent,0.50661
County,Mariposa,9-11,2014,Percent,0.53623
County,Mariposa,12-14,2014,Percent,0.46575
County,Mariposa,15-18,2014,Percent,0.40467
County,Mariposa,19-20,2014,Percent,0.24074
County,Mariposa,0-20,2014,Percent,0.38582
County,Mariposa,0-3,2015,Percent,0.10204
County,Mariposa,4-5,2015,Percent,0.34459
County,Mariposa,6-8,2015,Percent,0.39111
County,Mariposa,9-11,2015,Percent,0.46957
County,Mariposa,12-14,2015,Percent,0.42424
County,Mariposa,15-18,2015,Percent,0.38721
County,Mariposa,19-20,2015,Percent,0.29412
County,Mariposa,0-20,2015,Percent,0.34783
County,Mendocino,0-3,2013,Percent,0.34
County,Mendocino,4-5,2013,Percent,0.62
County,Mendocino,6-8,2013,Percent,0.63
County,Mendocino,9-11,2013,Percent,0.64
County,Mendocino,12-14,2013,Percent,0.57
County,Mendocino,15-18,2013,Percent,0.52
County,Mendocino,19-20,2013,Percent,0.33
County,Mendocino,0-20,2013,Percent,0.53
County,Mendocino,0-3,2014,Percent,0.33635
County,Mendocino,4-5,2014,Percent,0.57535
County,Mendocino,6-8,2014,Percent,0.60108
County,Mendocino,9-11,2014,Percent,0.57406
County,Mendocino,12-14,2014,Percent,0.53031
County,Mendocino,15-18,2014,Percent,0.47909
County,Mendocino,19-20,2014,Percent,0.34107
County,Mendocino,0-20,2014,Percent,0.49683
County,Mendocino,0-3,2015,Percent,0.38053
County,Mendocino,4-5,2015,Percent,0.5908
County,Mendocino,6-8,2015,Percent,0.59517
County,Mendocino,9-11,2015,Percent,0.60522
County,Mendocino,12-14,2015,Percent,0.5314
County,Mendocino,15-18,2015,Percent,0.47877
County,Mendocino,19-20,2015,Percent,0.3218
County,Mendocino,0-20,2015,Percent,0.50846
County,Merced,0-3,2013,Percent,0.25
County,Merced,4-5,2013,Percent,0.61
County,Merced,6-8,2013,Percent,0.63
County,Merced,9-11,2013,Percent,0.6
County,Merced,12-14,2013,Percent,0.52
County,Merced,15-18,2013,Percent,0.46
County,Merced,19-20,2013,Percent,0.35
County,Merced,0-20,2013,Percent,0.49
County,Merced,0-3,2014,Percent,0.22475
County,Merced,4-5,2014,Percent,0.5501
County,Merced,6-8,2014,Percent,0.58206
County,Merced,9-11,2014,Percent,0.55751
County,Merced,12-14,2014,Percent,0.51234
County,Merced,15-18,2014,Percent,0.45152
County,Merced,19-20,2014,Percent,0.32411
County,Merced,0-20,2014,Percent,0.46156
County,Merced,0-3,2015,Percent,0.26609
County,Merced,4-5,2015,Percent,0.55695
County,Merced,6-8,2015,Percent,0.58437
County,Merced,9-11,2015,Percent,0.55263
County,Merced,12-14,2015,Percent,0.51448
County,Merced,15-18,2015,Percent,0.45317
